,date,geartype,hours,vesselIDs,iso3,label
89,2017-09,drifting_longlines,8676.451389,58,FJI,Fiji
90,2017-09,fishing,22.77555556,2,FJI,Fiji
91,2017-09,pole_and_line,833.2977778,2,FJI,Fiji
92,2017-10,drifting_longlines,8710.775278,56,FJI,Fiji
93,2017-10,fishing,11.13416667,2,FJI,Fiji
94,2017-10,pole_and_line,564.7227778,2,FJI,Fiji
95,2017-11,drifting_longlines,9270.424444,41,FJI,Fiji
96,2017-11,pole_and_line,408.5980556,2,FJI,Fiji
97,2017-12,drifting_longlines,8170.122778,54,FJI,Fiji
98,2017-12,pole_and_line,358.1816667,2,FJI,Fiji
99,2018-01,drifting_longlines,4.941111111,7,FJI,Fiji
100,2018-01,drifting_longlines,9726.031667,76,FJI,Fiji
101,2018-02,drifting_longlines,8268.781389,60,FJI,Fiji
102,2018-02,pole_and_line,133.7572222,1,FJI,Fiji
103,2018-02,tuna_purse_seines,4.421111111,1,FJI,Fiji
104,2018-03,drifting_longlines,10113.97389,88,FJI,Fiji
105,2018-03,pole_and_line,380.0958333,1,FJI,Fiji
106,2018-04,drifting_longlines,10045.51222,84,FJI,Fiji
107,2018-04,fishing,5.89,1,FJI,Fiji
108,2018-04,pole_and_line,225.6222222,1,FJI,Fiji
109,2018-04,tuna_purse_seines,0.758333333,1,FJI,Fiji
110,2018-05,drifting_longlines,13130.36306,88,FJI,Fiji
111,2018-05,fishing,61.19305556,2,FJI,Fiji
112,2018-05,pole_and_line,279.0580556,1,FJI,Fiji
113,2018-05,set_longlines,11.73694444,1,FJI,Fiji
114,2018-06,drifting_longlines,12366.63417,64,FJI,Fiji
115,2018-06,fishing,32.48111111,2,FJI,Fiji
116,2018-07,drifting_longlines,12259.43306,86,FJI,Fiji
117,2018-07,fishing,49.50805556,2,FJI,Fiji
118,2018-07,set_longlines,7.735555556,1,FJI,Fiji
119,2018-07,tuna_purse_seines,6.104444444,1,FJI,Fiji
120,2018-08,drifting_longlines,12929.19889,75,FJI,Fiji
121,2018-08,fishing,31.67833333,3,FJI,Fiji
122,2018-08,set_longlines,25.47555556,1,FJI,Fiji
123,2018-08,tuna_purse_seines,11.29666667,1,FJI,Fiji
124,2018-09,drifting_longlines,11018.39694,76,FJI,Fiji
125,2018-09,fishing,82.37833333,3,FJI,Fiji
126,2018-09,set_longlines,4.270555556,1,FJI,Fiji
127,2018-09,tuna_purse_seines,48.10861111,1,FJI,Fiji
128,2018-10,drifting_longlines,11172.99278,64,FJI,Fiji
129,2018-10,fishing,37.35805556,3,FJI,Fiji
130,2018-10,tuna_purse_seines,0.428888889,1,FJI,Fiji
131,2018-11,drifting_longlines,10874.69972,48,FJI,Fiji
132,2018-12,drifting_longlines,11700.65139,66,FJI,Fiji
133,2019-01,drifting_longlines,6.360555556,7,FJI,Fiji
134,2019-01,drifting_longlines,10153.07611,55,FJI,Fiji
135,2019-01,set_longlines,10.26777778,1,FJI,Fiji
136,2019-01,tuna_purse_seines,9.217222222,1,FJI,Fiji
137,2019-02,drifting_longlines,9918.255833,58,FJI,Fiji
138,2019-03,drifting_longlines,10520.7625,66,FJI,Fiji
139,2019-03,tuna_purse_seines,0.0425,1,FJI,Fiji
140,2019-04,drifting_longlines,11700.76972,76,FJI,Fiji
141,2019-04,tuna_purse_seines,1.397777778,1,FJI,Fiji
142,2019-05,drifting_longlines,11927.08556,77,FJI,Fiji
143,2019-05,tuna_purse_seines,4.345,1,FJI,Fiji
144,2019-06,drifting_longlines,10323.77167,51,FJI,Fiji
145,2019-06,fishing,5.865,1,FJI,Fiji
146,2019-07,drifting_longlines,10822.60667,52,FJI,Fiji
147,2019-08,drifting_longlines,11423.0775,69,FJI,Fiji
148,2019-08,fishing,16.83694444,2,FJI,Fiji
149,2019-08,tuna_purse_seines,0.486944444,1,FJI,Fiji
150,2019-09,drifting_longlines,10475.34444,71,FJI,Fiji
151,2019-10,drifting_longlines,11460.90833,46,FJI,Fiji
152,2019-10,fishing,11.75916667,1,FJI,Fiji
153,2019-10,set_longlines,40.79888889,1,FJI,Fiji
154,2019-11,drifting_longlines,10807.96167,39,FJI,Fiji
